--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
061.851  000.073  000.073: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
061.871  000.392  000.319: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/matchit.vim
061.952  000.057  000.057: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/matchparen.vim
062.343  000.082  000.082: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/pack/dist/opt/netrw/plugin/netrwPlugin.vim
062.362  000.385  000.303: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/netrwPlugin.vim
062.468  000.075  000.075: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/rplugin.vim
062.530  000.034  000.034: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/tarPlugin.vim
062.574  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/tutor.vim
062.648  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/zipPlugin.vim
062.710  000.034  000.034: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/editorconfig.lua
062.768  000.031  000.031: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/man.lua
062.858  000.061  000.061: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/net.lua
062.932  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/osc52.lua
063.008  000.049  000.049: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/shada.lua
063.065  000.022  000.022: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/spellfile.lua
063.085  001.678: loading rtp plugins
063.491  000.015  000.015: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/conform.nvim/plugin/conform.lua
063.649  000.035  000.035: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/gitsigns.nvim/plugin/gitsigns.lua
063.851  000.023  000.023: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/LuaSnip/plugin/luasnip.vim
064.752  000.832  000.832: require('vim.filetype')
0
